,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu,5 linijki odstepu,4 linijki odstepu,7 linijki odstepu,6 linijki odstepu,10 linijki odstepu
12,Malgosia,java,Pole.java,2023-04-01,2023-04-03,61,169,1561,0,0,0,0,5,2,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6,8,3,0,0,0,6,0,1,60,1,0,0,0,0,PrzeciwpiechotnaMina,1443,61.0,3.0,55.0,,,,,,
13,Malgosia,java,ZniszczenieIZaglada.java,2023-04-01,2023-04-03,6,9,91,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ZniszczenieIZaglada,81,6.0,1.0,4.0,,,,,,
14,Malgosia,java,Dyskoteka.java,2023-04-23,2023-04-24,63,152,1647,0,0,0,0,1,5,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,4,2,0,0,0,10,0,1,148,2,0,0,0,0,MalyOchroniarz,1526,63.0,4.0,55.0,,,,,,
15,Malgosia,java,Main.java,2023-04-23,2023-04-24,12,20,176,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Dyskoteka,157,12.0,2.0,5.0,1.0,,,,,
16,Malgosia,java,DuzyOchroniarz.java,2023-04-23,2023-04-24,47,92,1186,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,3,0,2,0,0,8,0,1,37,1,0,0,0,0,DuzyOchroniarz,1098,47.0,5.0,37.0,,,,,,
17,Malgosia,java,MalyOchroniarz.java,2023-04-23,2023-04-24,13,24,263,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,37,1,0,0,0,0,MalyOchroniarz,242,13.0,4.0,5.0,,,,,,
18,Malgosia,java,Ochroniarz.java,2023-04-23,2023-04-24,39,91,976,2,0,0,0,1,0,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,5,0,0,4,0,1,0,0,0,0,0,0,RejestrObcych,901,39.0,2.0,35.0,,,,,,
19,Malgosia,java,RejestrObcych.java,2023-04-23,2023-04-23,24,40,447,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,5,0,1,0,0,0,0,0,0,RejestrObcych,404,24.0,4.0,16.0,,,,,,
20,Malgosia,java,Hol.java,2023-04-23,2023-04-23,25,63,642,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,6,0,1,0,0,0,0,0,0,listaUczestnikow,596,25.0,3.0,19.0,,,,,,
21,Malgosia,java,Sala.java,2023-04-23,2023-04-23,47,97,1125,0,0,0,0,0,4,5,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,2,0,4,1,1,4,0,1,0,0,0,0,0,0,ZaDuzoLudziException,1039,47.0,7.0,33.0,,,,,,
